Código,Nome,Volume,Última (R$),Variação
MGLU3,Magazine Luiza,89.444.800,3,76,+2,17%
HAPV3,Hapvida,89.397.800,4,19,-0,24%
PETR4,Petrobras,88.870.500,31,85,+4,19%
OIBR3,Oi,52.668.400,1,19,+11,21%
VIIA3,Via,42.518.600,2,61,+0,38%
NTCO3,Natura,40.624.900,17,28,+7,53%
BBDC4,Banco Bradesco,32.094.200,17,25,-0,23%
B3SA3,B3,30.500.700,14,64,-0,61%
LREN3,Lojas Renner,28.777.000,21,76,+0,83%
EMBR3,Embraer,28.323.400,17,83,-7,42%
COGN3,Cogna,28.100.400,3,38,-1,46%
VALE3,Vale,27.191.500,66,93,-1,01%
CVCB3,CVC,27.106.400,3,97,-5,25%
ITUB4,Itaú Unibanco,26.308.200,29,04,+0,97%
RAIZ4,Raízen,23.895.200,4,23,+1,93%
AMAR3,Lojas Marisa,23.689.800,1,08,+24,14%
PRIO3,PetroRio,21.045.300,38,67,+6,94%
CIEL3,Cielo,20.998.800,4,69,-0,42%
ITSA4,Itaúsa,18.982.300,9,89,+0,82%
MRVE3,MRV,18.319.300,11,90,+1,19%
AMER3,Americanas,18.134.500,1,21,+0,00%
RAIL3,Rumo,18.111.800,22,27,-0,67%
ASAI3,Assaí,18.003.300,13,40,+0,53%
PETR3,Petrobras,16.983.900,35,68,+3,99%
TRAD3,Traders Club,16.604.800,1,85,-11,48%
JBSS3,JBS,16.309.800,18,89,-2,33%
VAMO3,Grupo Vamos,15.388.000,12,38,-2,29%
ABEV3,Ambev,15.328.500,15,28,+0,92%
ENEV3,Eneva,14.828.600,11,77,-1,92%
CBAV3,CBA,14.749.700,5,17,-6,51%
GOLL4,GOL,13.710.400,12,02,+1,43%
BBAS3,Banco do Brasil,13.655.800,51,99,+3,15%
IFCM3,Infracommerce,12.080.000,1,86,-9,71%
CMIN3,CSN Mineração,12.024.900,4,38,-1,57%
YDUQ3,YDUQS,12.015.700,20,35,+4,57%
WEGE3,WEG,11.876.900,36,45,-1,35%
EQTL3,Equatorial Energia,11.535.500,30,83,-0,16%
BRFS3,BRF,11.248.900,9,51,-1,96%
ANIM3,Ânima Educação,10.981.600,4,49,+2,05%
SOMA3,Grupo Soma,10.901.500,12,03,+2,12%
LIGT3,Light,10.689.300,8,13,+1,88%
AZUL4,Azul,10.419.200,21,76,+0,79%
USIM5,Usiminas,10.217.600,7,30,-1,22%
CMIG4,CEMIG,9.818.100,12,89,+1,18%
VBBR3,Vibra Energia,9.771.200,18,15,+1,17%
SEQL3,Sequoia Logística,9.758.000,1,70,+1,19%
POMO4,Marcopolo,9.424.100,5,33,+2,11%
ALPA4,Alpargatas,9.321.300,11,09,+2,88%
ELET3,Eletrobras,9.264.600,39,60,+0,53%
SMFT3,Smart Fit,9.136.100,20,61,-2,00%
CYRE3,Cyrela,9.119.400,19,84,+2,85%
CSAN3,Cosan,8.654.500,18,01,+1,81%
GGBR4,Gerdau,8.580.300,25,65,-0,81%
CSNA3,Siderúrgica Nacional,8.406.400,13,06,-0,46%
BBSE3,BB Seguridade,8.316.800,30,34,+0,36%
ONCO3,Oncoclínicas,7.995.100,10,17,-4,51%
PETZ3,Petz,7.969.200,7,29,+0,83%
AERI3,Aeris Energy,7.905.100,1,56,+2,63%
MULT3,Multiplan,7.654.100,27,41,+2,51%
CPLE6,Copel,7.375.500,7,87,-0,38%
CRFB3,Carrefour Brasil,7.178.300,10,93,-2,15%
NEOE3,Neoenergia,7.023.700,20,58,+1,78%
GFSA3,Gafisa,6.921.000,8,21,-3,53%
SUZB3,Suzano,6.653.500,46,48,-2,02%
BEEF3,Minerva,6.653.100,11,18,-0,18%
GOAU4,Metalúrgica Gerdau,6.369.400,12,11,-0,82%
TIMS3,TIM,6.063.700,14,86,-0,87%
CCRO3,Grupo CCR,6.044.700,14,04,-1,20%
ALSO3,Aliansce Sonae,6.010.800,24,70,+3,13%
MRFG3,Marfrig,6.001.400,7,64,-1,29%
SIMH3,Simpar,5.972.200,9,78,+0,10%
JHSF3,JHSF,5.916.200,5,18,+5,07%
GMAT3,Grupo Mateus,5.819.200,8,28,+2,48%
RDOR3,Rede D'Or,5.673.000,33,19,+0,73%
ECOR3,EcoRodovias,5.536.100,7,15,-1,38%
RENT3,Localiza,5.524.700,67,38,+0,46%
LWSA3,Locaweb,5.402.000,9,30,-1,27%
MODL3,Banco Modal,5.131.800,3,23,+2,87%
BBDC3,Banco Bradesco,5.044.900,14,97,+0,74%
HYPE3,Hypera,4.806.600,44,26,-0,54%
UGPA3,Ultrapar,4.756.600,18,33,+0,83%
STBP3,Santos Brasil,4.697.500,10,04,-0,10%
MOVI3,Movida,4.695.300,10,71,+0,09%
LJQQ3,Lojas Quero-Quero,4.648.400,6,43,+2,39%
RRRP3,3R Petroleum,4.634.200,32,64,-0,31%
RADL3,RaiaDrogasil,4.418.100,28,81,+0,38%
NGRD3,Neogrid,4.404.400,1,99,-8,29%
MLAS3,Multilaser,4.392.500,2,75,+4,17%
DIRR3,Direcional,4.348.200,18,38,-2,34%
TOTS3,Totvs,4.095.600,29,50,-1,44%
CEAB3,C&A,4.063.200,5,35,+1,71%
HBSA3,Hidrovias do Brasil,4.053.200,3,65,-2,93%
CASH3,Méliuz,3.571.600,8,58,-1,94%
EZTC3,EZTEC,3.554.700,19,28,+2,39%
RAPT4,Randon,3.515.800,12,10,+1,51%
RCSL3,Recrusul,3.498.800,1,86,+3,91%
ENBR3,EDP Brasil,3.464.700,23,51,+0,04%
VIVT3,Vivo,3.379.200,43,47,+0,79%
SBFG3,Grupo SBF,3.356.900,14,40,+2,13%
BRKM5,Braskem,3.268.900,29,55,-1,66%
CPFE3,CPFL Energia,3.186.700,33,13,+2,70%
