Código;Nome;Volume;Última (R$);Variação
MGLU3;Magazine Luiza;89444800;3,76;2,17
HAPV3;Hapvida;89397800;4,19;0,24
PETR4;Petrobras;88870500;31,85;4,19
OIBR3;Oi;52668400;1,19;11,21
VIIA3;Via;42518600;2,61;0,38
NTCO3;Natura;40624900;17,28;7,53
BBDC4;Banco Bradesco;32094200;17,25;0,23
B3SA3;B3;30500700;14,64;0,61
LREN3;Lojas Renner;28777000;21,76;0,83
EMBR3;Embraer;28323400;17,83;-7,42
COGN3;Cogna;28100400;3,38;-1,46
VALE3;Vale;27191500;66,93;-1,01
CVCB3;CVC;27106400;3,97;-5,25
ITUB4;Itaú Unibanco;26308200;29,4;0,97
RAIZ4;Raízen;23895200;4,23;1,93
AMAR3;Lojas Marisa;23689800;1,8;24,14
PRIO3;PetroRio;21045300;38,67;6,94
CIEL3;Cielo;20998800;4,69;0,42
ITSA4;Itaúsa;18982300;9,89;0,82
MRVE3;MRV;18319300;11,9;1,19
AMER3;Americanas;18134500;1,21;0
RAIL3;Rumo;18111800;22,27;0,67
ASAI3;Assaí;18003300;13,4;0,53
PETR3;Petrobras;16983900;35,68;3,99
TRAD3;Traders Club;16604800;1,85;-11,48
JBSS3;JBS;16309800;18,89;-2,33
VAMO3;Grupo Vamos;15388000;12,38;-2,29
ABEV3;Ambev;15328500;15,28;0,92
ENEV3;Eneva;14828600;11,77;-1,92
CBAV3;CBA;14749700;5,17;-6,51
GOLL4;GOL;13710400;12,2;1,43
BBAS3;Banco do Brasil;13655800;51,99;3,15
IFCM3;Infracommerce;12080000;1,86;-9,71
CMIN3;CSN Mineração;12024900;4,38;-1,57
YDUQ3;YDUQS;12015700;20,35;4,57
WEGE3;WEG;11876900;36,45;-1,35
EQTL3;Equatorial Energia;11535500;30,83;0,16
BRFS3;BRF;11248900;9,51;-1,96
ANIM3;Ânima Educação;10981600;4,49;2,05
SOMA3;Grupo Soma;10901500;12,3;2,12
LIGT3;Light;10689300;8,13;1,88
AZUL4;Azul;10419200;21,76;0,79
USIM5;Usiminas;10217600;7,3;-1,22
CMIG4;CEMIG;9818100;12,89;1,18
VBBR3;Vibra Energia;9771200;18,15;1,17
SEQL3;Sequoia Logística;9758000;1,7;1,19
POMO4;Marcopolo;9424100;5,33;2,11
ALPA4;Alpargatas;9321300;11,9;2,88
ELET3;Eletrobras;9264600;39,6;0,53
SMFT3;Smart Fit;9136100;20,61;-2
CYRE3;Cyrela;9119400;19,84;2,85
CSAN3;Cosan;8654500;18,1;1,81
GGBR4;Gerdau;8580300;25,65;0,81
CSNA3;Siderúrgica Nacional;8406400;13,6;0,46
BBSE3;BB Seguridade;8316800;30,34;0,36
ONCO3;Oncoclínicas;7995100;10,17;-4,51
PETZ3;Petz;7969200;7,29;0,83
AERI3;Aeris Energy;7905100;1,56;2,63
MULT3;Multiplan;7654100;27,41;2,51
CPLE6;Copel;7375500;7,87;0,38
CRFB3;Carrefour Brasil;7178300;10,93;-2,15
NEOE3;Neoenergia;7023700;20,58;1,78
GFSA3;Gafisa;6921000;8,21;-3,53
SUZB3;Suzano;6653500;46,48;-2,02
BEEF3;Minerva;6653100;11,18;0,18
GOAU4;Metalúrgica Gerdau;6369400;12,11;0,82
TIMS3;TIM;6063700;14,86;0,87
CCRO3;Grupo CCR;6044700;14,4;-1,2
ALSO3;Aliansce Sonae;6010800;24,7;3,13
MRFG3;Marfrig;6001400;7,64;-1,29
SIMH3;Simpar;5972200;9,78;0,1
JHSF3;JHSF;5916200;5,18;5,07
GMAT3;Grupo Mateus;5819200;8,28;2,48
RDOR3;Rede D'Or;5673000;33,19;0,73
ECOR3;EcoRodovias;5536100;7,15;-1,38
RENT3;Localiza;5524700;67,38;0,46
LWSA3;Locaweb;5402000;9,3;-1,27
MODL3;Banco Modal;5131800;3,23;2,87
BBDC3;Banco Bradesco;5044900;14,97;0,74
HYPE3;Hypera;4806600;44,26;0,54
UGPA3;Ultrapar;4756600;18,33;0,83
STBP3;Santos Brasil;4697500;10,4;0,1
MOVI3;Movida;4695300;10,71;0,09
LJQQ3;Lojas Quero-Quero;4648400;6,43;2,39
RRRP3;3R Petroleum;4634200;32,64;0,31
RADL3;RaiaDrogasil;4418100;28,81;0,38
NGRD3;Neogrid;4404400;1,99;-8,29
MLAS3;Multilaser;4392500;2,75;4,17
DIRR3;Direcional;4348200;18,38;-2,34
TOTS3;Totvs;4095600;29,5;-1,44
CEAB3;C&A;4063200;5,35;1,71
HBSA3;Hidrovias do Brasil;4053200;3,65;-2,93
CASH3;Méliuz;3571600;8,58;-1,94
EZTC3;EZTEC;3554700;19,28;2,39
RAPT4;Randon;3515800;12,1;1,51
RCSL3;Recrusul;3498800;1,86;3,91
ENBR3;EDP Brasil;3464700;23,51;0,04
VIVT3;Vivo;3379200;43,47;0,79
SBFG3;Grupo SBF;3356900;14,4;2,13
BRKM5;Braskem;3268900;29,55;-1,66
CPFE3;CPFL Energia;3186700;33,13;2,7
IRBR3;IRB Brasil RE;3051000;40,61;5,78
RECV3;PetroRecôncavo;2980100;20,1;3,93
DXCO3;Dexco;2940700;9,25;-2,32
BRSR6;Banrisul;2924500;14,9;1,92
MEAL3;IMC Alimentação;2804300;2,7;3,05
QUAL3;Qualicorp;2781700;4,8;0,83
ODPV3;Odontoprev;2765100;12,1;3,77
ELET6;Eletrobras;2748100;44,73;0,83
KLBN4;Klabin;2711700;4,51;-2,17
ARZZ3;Arezzo;2706800;79,86;3,53
RCSL4;Recrusul;2643300;0,85;10,39
MBLY3;Mobly;2582700;4,1;1,78
PLPL3;Plano&Plano;2578000;9,85;5,69
MYPK3;Iochpe-Maxion;2570700;13,24;1,15
CURY3;Cury;2548800;14,9;-2,1
